address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
20 Carbine Wy,2,4,2,21-03-2020,579m²,House,16th March 2020,$767.5k,VIC,Lyndhurst,3975
117 Marriott Bvd,2,4,2,21-03-2020,720m²,House,12th March 2020,$1.01m,VIC,Lyndhurst,3975
1/20 Anthony Dr,1,3,2,21-03-2020,UNAVAILABLE,Unit,28th February 2020,$610k,VIC,Lysterfield,3156
1 Church St,3,4,4,21-03-2020,"2,529m²",House,12th March 2020,$1.4m,VIC,Macedon,3440
23 Corks Rd,2,3,3,21-03-2020,"2,493m²",House,14th March 2020,$881k,VIC,Macedon,3440
7 Vice Regal Av,2,3,6,21-03-2020,"1,861m²",House,19th March 2020,$880k,VIC,Macedon,3440
6/45-47 Chapman St,1,2,1,21-03-2020,224m²,Unit,UNAVAILABLE,$685k,VIC,Macleod,3085
2/183 Greensborough Rd,2,3,2,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,-1,VIC,Macleod,3085
5/246 Waiora Rd,2,3,1,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,-1,VIC,Macleod,3085
30 Gresswell Rd,3,5,3,21-03-2020,895m²,House,16th March 2020,$1.409998m,VIC,Macleod,3085
38 Gresswell Rd,4,4,2,21-03-2020,836m²,House,24th February 2020,$2m,VIC,Macleod,3085
6 Lupson Ct,2,3,2,21-03-2020,"1,497m²",House,6th March 2020,$525k,VIC,Maiden Gully,3551
11 Cambridge St,1,3,2,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Maidstone,3012
25b Dunedin St,1,2,1,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,Price withheld,VIC,Maidstone,3012
4/1 Edmund St,1,2,1,21-03-2020,UNAVAILABLE,Unit,16th March 2020,$479k,VIC,Maidstone,3012
10 Adair St,1,1,3,21-03-2020,997m²,House,17th March 2020,$300k,VIC,Maldon,3463
54 Mitchell St,2,3,3,21-03-2020,"1,037m²",House,16th March 2020,$580k,VIC,Malmsbury,3446
40 Alice St,2,3,2,21-03-2020,584m²,House,UNAVAILABLE,-1,VIC,Malvern,3144
11 Graves La,2,3,2,21-03-2020,UNAVAILABLE,House,18th March 2020,Price withheld,VIC,Malvern,3144
73 Jordan St,1,3,1,21-03-2020,377m²,House,UNAVAILABLE,$1.3m max bid,VIC,Malvern,3144
15 Albert St,3,5,5,21-03-2020,918m²,House,21st March 2020,$2.65m,VIC,Malvern East,3145
51 Alma St,1,3,2,21-03-2020,718m²,House,UNAVAILABLE,-1,VIC,Malvern East,3145
90 Alma St,2,4,2,21-03-2020,UNAVAILABLE,Townhouse,6th March 2020,Price withheld,VIC,Malvern East,3145
75 Finch St,2,3,2,21-03-2020,490m²,House,21st March 2020,$2.31m,VIC,Malvern East,3145
11 James Pde,2,3,2,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.4m,VIC,Malvern East,3145
79 Karma Av,2,3,2,21-03-2020,UNAVAILABLE,Townhouse,21st March 2020,Price withheld,VIC,Malvern East,3145
1/35 Kerferd St,2,2,2,21-03-2020,UNAVAILABLE,Unit,21st March 2020,$1.01m,VIC,Malvern East,3145
1/7 Moama Rd,1,3,2,21-03-2020,360m²,Townhouse,11th March 2020,$1.45m,VIC,Malvern East,3145
17 Nyora St,2,3,3,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.75m,VIC,Malvern East,3145
7/1a Paxton St,2,2,1,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$710k,VIC,Malvern East,3145
27 Thurso St,1,3,3,21-03-2020,681m²,House,15th March 2020,$1.46m,VIC,Malvern East,3145
254 Waverley Rd,1,3,2,21-03-2020,570m²,House,UNAVAILABLE,-1,VIC,Malvern East,3145
