address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
702/6 Acacia Pl,1,1,1,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$425k,VIC,Abbotsford,3067
104/10 Trenerry Cr,1,2,1,07-03-2020,UNAVAILABLE,Unit,2nd March 2020,$510k,VIC,Abbotsford,3067
56 Roberts Rd,1,2,1,07-03-2020,266m²,Unit,UNAVAILABLE,$630k,VIC,Airport West,3042
51 York St,2,3,2,07-03-2020,UNAVAILABLE,House,4th March 2020,Price withheld,VIC,Airport West,3042
2/92 Bowes Av,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,26th February 2020,$810k,VIC,Airport West,3042
13 Diamond Av,2,3,3,07-03-2020,530m²,House,10th February 2020,$581k,VIC,Albanvale,3021
21 Entally Dr,1,3,2,07-03-2020,UNAVAILABLE,House,6th March 2020,$568k,VIC,Albanvale,3021
3/10 Hayden Cr,1,2,1,07-03-2020,UNAVAILABLE,Unit,3rd March 2020,$490k,VIC,Albion,3020
16 Alfredton Dr,2,4,3,07-03-2020,864m²,House,24th February 2020,$590.5k,VIC,Alfredton,3350
41 Creekstone Dr,2,4,2,07-03-2020,539m²,House,2nd March 2020,$530k,VIC,Alfredton,3350
177 Dyson Dr,2,4,2,07-03-2020,610m²,House,17th February 2020,$500k,VIC,Alfredton,3350
5 Grauers Rd,2,3,1,07-03-2020,UNAVAILABLE,House,4th March 2020,$295k,VIC,Allansford,3277
49 Davies St,2,4,5,07-03-2020,UNAVAILABLE,House,6th March 2020,$1.92m,VIC,Altona,3018
27-29 Jamison St S,1,4,2,07-03-2020,950m²,House,28th February 2020,$730k,VIC,Altona Meadows,3028
27 Laird Dr,1,3,2,07-03-2020,535m²,House,2nd March 2020,$630k,VIC,Altona Meadows,3028
10-12 Oakdene Gr S,2,4,1,07-03-2020,UNAVAILABLE,House,3rd March 2020,$650k,VIC,Altona Meadows,3028
273 Victoria St,1,3,2,07-03-2020,UNAVAILABLE,House,28th February 2020,$620k,VIC,Altona Meadows,3028
11 Warren Ct,2,4,1,07-03-2020,UNAVAILABLE,House,17th February 2020,$730k,VIC,Altona Meadows,3028
6/53-55 Kyle Rd,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,5th March 2020,$640k,VIC,Altona North,3025
4 Bright Av,1,3,2,07-03-2020,280m²,House,UNAVAILABLE,$635k,VIC,Altona North,3025
3/23 Edward Av,1,2,1,07-03-2020,UNAVAILABLE,Unit,6th March 2020,$625k,VIC,Altona North,3025
8 Butterworth Cr,1,3,2,07-03-2020,UNAVAILABLE,House,28th February 2020,$860k,VIC,Anglesea,3230
25 Second Av,2,4,2,07-03-2020,"1,319m²",House,14th February 2020,$1.22m,VIC,Anglesea,3230
18 Seeberg Ct,2,3,1,07-03-2020,440m²,House,14th February 2020,$615k,VIC,Apollo Bay,3233
6 Burke Rd,1,1,1,07-03-2020,UNAVAILABLE,House,UNAVAILABLE,$185k,VIC,Ararat,3377
6 Burke Rd,1,3,1,07-03-2020,700m²,House,5th March 2020,$185k,VIC,Ararat,3377
22 King St,1,3,1,07-03-2020,UNAVAILABLE,House,6th March 2020,$212k,VIC,Ararat,3377
149 Moore St,1,3,3,07-03-2020,"1,080m²",House,2nd March 2020,$220k,VIC,Ararat,3377
37 Picnic Rd,1,2,2,07-03-2020,"4,000m²",House,27th February 2020,$216k,VIC,Ararat,3377
34 Esmond St,1,4,2,07-03-2020,UNAVAILABLE,House,3rd March 2020,$590k,VIC,Ardeer,3022
2/29 Helene St,1,2,1,07-03-2020,UNAVAILABLE,Unit,5th March 2020,$495k,VIC,Ardeer,3022
54 Verdant Av,1,3,1,07-03-2020,676m²,House,6th March 2020,$515k,VIC,Ardeer,3022
17/881 High St,2,3,2,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$970k,VIC,Armadale,3143
50 Lance Dr,2,4,2,07-03-2020,418m²,House,13th February 2020,$542k,VIC,Armstrong Creek,3217
12 Ross St,2,3,2,07-03-2020,336m²,House,14th February 2020,$510k,VIC,Armstrong Creek,3217
7/39 Myrnong Cr,1,1,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$320k,VIC,Ascot Vale,3032
98 Albion Rd,2,4,2,07-03-2020,620m²,House,7th March 2020,Price withheld,VIC,Ashburton,3147
3/309 High St,1,1,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,-1,VIC,Ashburton,3147
7 Raymond St,1,3,1,07-03-2020,825m²,House,UNAVAILABLE,$1.298m,VIC,Ashwood,3147
43 Larnook Cr,2,4,2,07-03-2020,535m²,House,11th February 2020,$962k,VIC,Aspendale,3195
54 Livingstone St,1,3,5,07-03-2020,"2,000m²",House,8th February 2020,$445k,VIC,Avenel,3664
70 Military Rd,1,3,1,07-03-2020,UNAVAILABLE,House,26th February 2020,$580k,VIC,Avondale Heights,3034
29 Wright Rd,1,3,2,07-03-2020,"1,034m²",House,18th February 2020,$611k,VIC,Avonsleigh,3782
32 McCullagh St,2,4,8,07-03-2020,"1,573m²",House,4th March 2020,$665k,VIC,Bacchus Marsh,3340
4 Collins St,1,3,−,07-03-2020,UNAVAILABLE,House,4th March 2020,$225k,VIC,Bairnsdale,3875
124 Drevermann St,1,3,2,07-03-2020,750m²,House,4th March 2020,$290k,VIC,Bairnsdale,3875
3 Sunline Ct,2,4,2,07-03-2020,700m²,House,2nd March 2020,$541k,VIC,Ballan,3342
2/114-116 Drummond St S,2,2,1,07-03-2020,UNAVAILABLE,Unit,2nd March 2020,$510k,VIC,Ballarat Central,3350
18A Barkly St,1,1,−,07-03-2020,468m²,House,28th February 2020,$525k,VIC,Ballarat East,3350
18B Barkly St,1,3,−,07-03-2020,427m²,House,28th February 2020,$500k,VIC,Ballarat East,3350
2/4 Castle Ct,1,2,1,07-03-2020,UNAVAILABLE,Townhouse,4th March 2020,$280k,VIC,Ballarat East,3350
136 Eureka St,1,3,2,07-03-2020,UNAVAILABLE,House,3rd March 2020,$370k,VIC,Ballarat East,3350
11 Hunt St,1,3,2,07-03-2020,367m²,House,3rd March 2020,$490k,VIC,Ballarat East,3350
1 Lalor St,1,3,1,07-03-2020,669m²,House,28th February 2020,$320k,VIC,Ballarat East,3350
404 Morres St,2,4,2,07-03-2020,582m²,House,2nd March 2020,$485k,VIC,Ballarat East,3350
1017 Ligar St,2,5,2,07-03-2020,566m²,House,12th February 2020,$520k,VIC,Ballarat North,3350
12 Burroughs Rd,1,3,1,07-03-2020,743m²,House,7th March 2020,$2.26m,VIC,Balwyn,3103
2/367 Balwyn Rd,1,1,1,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$1.675m max bid,VIC,Balwyn North,3104
26 Minerva Av,2,4,2,07-03-2020,680m²,House,2nd March 2020,$1.8m,VIC,Balwyn North,3104
1 Taurus St,3,4,2,07-03-2020,UNAVAILABLE,House,21st February 2020,$2.218m,VIC,Balwyn North,3104
19 Bryan Pl,2,4,7,07-03-2020,6070.28463m²,House,6th March 2020,$705k,VIC,Bannockburn,3331
8 Laffan Ct,2,4,6,07-03-2020,"5,238m²",House,28th February 2020,$780k,VIC,Bannockburn,3331
19 McKenna St,2,4,4,07-03-2020,700m²,House,22nd February 2020,$620k,VIC,Bannockburn,3331
1/8A Moore St,2,3,2,07-03-2020,288m²,House,4th March 2020,$415k,VIC,Bannockburn,3331
43 Newbay Cl,2,4,2,07-03-2020,639m²,House,3rd March 2020,$860k,VIC,Barwon Heads,3227
18/639 Mountain Hwy,2,3,2,07-03-2020,113m²,Unit,28th February 2020,$640k,VIC,Bayswater,3153
11 Streeton Rd,2,4,4,07-03-2020,710m²,House,19th February 2020,$733k,VIC,Bayswater,3153
13a Tamar St,2,3,1,07-03-2020,UNAVAILABLE,House,12th February 2020,$670k,VIC,Bayswater,3153
56 Tamar St,1,3,2,07-03-2020,745m²,House,29th February 2020,$740k,VIC,Bayswater,3153
5 Allambanan Dr,2,4,10,07-03-2020,788m²,House,UNAVAILABLE,$750k,VIC,Bayswater North,3153
5/10 Hamilton Rd,1,3,1,07-03-2020,303m²,Unit,6th March 2020,$557k,VIC,Bayswater North,3153
14 Wyett Ct,2,4,2,07-03-2020,950m²,House,24th February 2020,$759.5k,VIC,Bayswater North,3153
245 Soldiers Rd,2,4,2,07-03-2020,UNAVAILABLE,House,22nd February 2020,$715k,VIC,Beaconsfield,3807
2B McBride Rd,2,4,2,07-03-2020,"4,984m²",House,UNAVAILABLE,$1.55m,VIC,Beaconsfield Upper,3808
15 Olinda St,2,3,2,07-03-2020,UNAVAILABLE,House,27th February 2020,$433k,VIC,Beaufort,3373
10 Ruxton Ri,1,1,−,07-03-2020,UNAVAILABLE,House,13th February 2020,$1.2m,VIC,Beaumaris,3193
80 Last St,2,5,1,07-03-2020,"1,010m²",House,6th March 2020,$480k,VIC,Beechworth,3747
18 Spring St,1,3,3,07-03-2020,"1,018m²",House,5th March 2020,$445k,VIC,Beechworth,3747
62 Anakie Rd,1,3,2,07-03-2020,654m²,House,12th February 2020,$405k,VIC,Bell Park,3215
2/38 Maple Cr,2,3,3,07-03-2020,UNAVAILABLE,House,6th March 2020,$539k,VIC,Bell Park,3215
14 Summit Av,2,3,1,07-03-2020,485m²,House,24th February 2020,$568k,VIC,Belmont,3216
3 Taldra Ct,2,4,4,07-03-2020,809m²,House,27th February 2020,$635.5k,VIC,Belmont,3216
3/33 The Avenue ,1,1,1,07-03-2020,UNAVAILABLE,Unit,26th February 2020,$333.5k,VIC,Belmont,3216
292 High St,2,3,1,07-03-2020,626m²,House,4th March 2020,Price withheld,VIC,Belmont,3216
43 Kardinia St,1,3,−,07-03-2020,567m²,House,UNAVAILABLE,$667k,VIC,Belmont,3216
69 Roslyn Rd,1,3,3,07-03-2020,429m²,House,UNAVAILABLE,$590k,VIC,Belmont,3216
78 Mackellar St,1,3,4,07-03-2020,675m²,House,4th March 2020,$255k,VIC,Benalla,3672
20 McGill St,1,3,1,07-03-2020,619m²,House,4th March 2020,$400k,VIC,Benalla,3672
56 Galvin St,1,2,1,07-03-2020,119m²,House,20th February 2020,$325k,VIC,Bendigo,3550
2/18 Havelock St,2,3,2,07-03-2020,UNAVAILABLE,House,4th March 2020,$517.5k,VIC,Bendigo,3550
3/86 Marong Rd,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,26th February 2020,$380k,VIC,Bendigo,3550
7/16 Stevenson St,1,2,1,07-03-2020,148m²,House,25th February 2020,$218k,VIC,Bendigo,3550
318 View St,1,3,1,07-03-2020,600m²,House,3rd March 2020,$395k,VIC,Bendigo,3550
18 Waterloo St,3,5,1,07-03-2020,630m²,House,6th March 2020,$735k,VIC,Bendigo,3550
17 Ardwick St,1,3,2,07-03-2020,629m²,House,UNAVAILABLE,$1.572m,VIC,Bentleigh,3204
202/1 Faulkner St,1,2,1,07-03-2020,48m²,Unit,UNAVAILABLE,-1,VIC,Bentleigh,3204
10 Wright St,1,3,4,07-03-2020,770m²,House,4th March 2020,$2m,VIC,Bentleigh,3204
4 Smith St,1,3,2,07-03-2020,680m²,House,29th February 2020,$1.625m,VIC,Bentleigh,3204
303/24 Becket Av,1,1,1,07-03-2020,UNAVAILABLE,Unit,29th February 2020,$385k,VIC,Bentleigh East,3165
21 Highview Rd,2,2,1,07-03-2020,UNAVAILABLE,House,2nd March 2020,$800k,VIC,Bentleigh East,3165
1 Kurrajong St,1,3,1,07-03-2020,UNAVAILABLE,House,25th February 2020,$1.187m,VIC,Bentleigh East,3165
9 Avebury Dr,2,3,2,07-03-2020,688m²,House,5th March 2020,$755k,VIC,Berwick,3806
3/5 Camley Ct,2,3,−,07-03-2020,UNAVAILABLE,Unit,21st February 2020,$515k,VIC,Berwick,3806
5 Cindy Ct,2,3,2,07-03-2020,499m²,House,2nd March 2020,$620k,VIC,Berwick,3806
3/187 High St,2,2,1,07-03-2020,UNAVAILABLE,Unit,27th February 2020,$520k,VIC,Berwick,3806
42 Jamieson Wy,2,4,2,07-03-2020,620m²,House,5th March 2020,$800k,VIC,Berwick,3806
103 Mansfield St,2,4,2,07-03-2020,651m²,House,28th February 2020,$670k,VIC,Berwick,3806
8 Palmerston St,2,3,2,07-03-2020,650m²,House,3rd March 2020,$960k,VIC,Berwick,3806
36 Yaldara Dr,2,4,2,07-03-2020,662m²,House,4th March 2020,$810k,VIC,Berwick,3806
42 Ardoyne St,2,4,4,07-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Black Rock,3193
1/565 Balcombe Rd,1,1,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$870k,VIC,Black Rock,3193
18 Pakenham St,2,3,2,07-03-2020,283m²,Townhouse,7th March 2020,$1.63m,VIC,Blackburn,3130
3/41 Whitehorse Rd,1,2,2,07-03-2020,217m²,House,3rd March 2020,$850.5k,VIC,Blackburn,3130
14 Lilac Ct,1,4,2,07-03-2020,760m²,House,UNAVAILABLE,$1.118m,VIC,Blackburn North,3130
25 Bond Av,1,3,1,07-03-2020,588m²,House,UNAVAILABLE,$990k,VIC,Blackburn South,3130
17 Garden St,1,3,−,07-03-2020,731m²,House,3rd March 2020,$750k,VIC,Blairgowrie,3942
28 Scott St,2,3,2,07-03-2020,630m²,House,24th February 2020,$880k,VIC,Blairgowrie,3942
7 Moonah Rd,1,2,5,07-03-2020,UNAVAILABLE,House,3rd March 2020,$290k,VIC,Bonnie Doon,3720
1/380 Boronia Rd,1,3,1,07-03-2020,UNAVAILABLE,Unit,1st March 2020,$625k,VIC,Boronia,3155
108/3 Chandler Rd,1,1,1,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$325k,VIC,Boronia,3155
2/1 Coogee St,2,3,2,07-03-2020,400m²,Unit,29th February 2020,$660k,VIC,Boronia,3155
404 Dorset Rd,2,4,3,07-03-2020,724m²,House,28th February 2020,$710k,VIC,Boronia,3155
2/28 Paton Cr,1,2,1,07-03-2020,UNAVAILABLE,Unit,25th February 2020,$552k,VIC,Boronia,3155
1/26 Rathmullen Rd,1,3,1,07-03-2020,268m²,Unit,19th February 2020,$590k,VIC,Boronia,3155
4 Shirley Ct,2,3,2,07-03-2020,804m²,House,3rd March 2020,$840k,VIC,Boronia,3155
3/57 Western Rd,2,3,2,07-03-2020,239m²,Unit,4th March 2020,$668k,VIC,Boronia,3155
25 Appletree Ri,3,5,5,07-03-2020,"1,025m²",House,27th February 2020,$915k,VIC,Botanic Ridge,3977
4 Broadgreen St,2,4,2,07-03-2020,512m²,House,28th February 2020,$726k,VIC,Botanic Ridge,3977
13 Towbeet Wy,2,4,2,07-03-2020,901m²,House,5th March 2020,$725k,VIC,Botanic Ridge,3977
12A Merton St,1,3,2,07-03-2020,572.15m²,House,UNAVAILABLE,-1,VIC,Box Hill,3128
3 Edwin St,1,3,1,07-03-2020,625m²,House,UNAVAILABLE,$1.1m,VIC,Box Hill North,3129
10 Patrick St,1,3,2,07-03-2020,776m²,House,UNAVAILABLE,$1.494m,VIC,Box Hill North,3129
2/71 Peter St,2,3,1,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$828k,VIC,Box Hill North,3129
1/18 Cadorna St,1,1,1,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,Price withheld,VIC,Box Hill South,3128
1B Douglas Av,2,4,2,07-03-2020,292m²,House,UNAVAILABLE,$1.2m,VIC,Box Hill South,3128
30 Edinburgh St,2,4,2,07-03-2020,950m²,House,7th March 2020,$1.8m,VIC,Box Hill South,3128
5/144 Churchill Av,1,2,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$510k max bid,VIC,Braybrook,3019
5/20 Hancock Cr,1,2,1,07-03-2020,UNAVAILABLE,Unit,1st March 2020,$505k,VIC,Braybrook,3019
55 Ruby Wy,2,4,2,07-03-2020,UNAVAILABLE,House,19th February 2020,$1.115m,VIC,Braybrook,3019
1A Milroy St,2,4,4,07-03-2020,768m²,House,2nd March 2020,$2.1m,VIC,Brighton East,3187
21 Casey Cr,2,5,6,07-03-2020,"4,000m²",House,28th February 2020,$775k,VIC,Broadford,3658
16 Coolabah St,2,3,2,07-03-2020,UNAVAILABLE,House,25th February 2020,$485k,VIC,Broadford,3658
3 Yattarna Ct,2,4,4,07-03-2020,784m²,House,5th March 2020,$485k,VIC,Broadford,3658
2/4 Seymour St,2,3,2,07-03-2020,230m²,Townhouse,UNAVAILABLE,$540k max bid,VIC,Broadmeadows,3047
200 Brooklyn Rd,2,5,4,07-03-2020,850m²,House,4th March 2020,$677k,VIC,Brookfield,3338
37 Faircroft Dr,2,5,2,07-03-2020,513m²,House,28th February 2020,$580k,VIC,Brookfield,3338
4/83 Cypress Av,1,2,1,07-03-2020,UNAVAILABLE,Townhouse,28th February 2020,$529k,VIC,Brooklyn,3012
1/14 Canterbury St,1,2,1,07-03-2020,UNAVAILABLE,Townhouse,2nd March 2020,$296k,VIC,Brown Hill,3350
6/10 Breese St,1,2,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$465k max bid,VIC,Brunswick,3056
2/173 Edward St,1,2,1,07-03-2020,UNAVAILABLE,Villa,5th March 2020,$650k,VIC,Brunswick,3056
D308/460 Victoria St,1,1,1,07-03-2020,UNAVAILABLE,Unit,26th February 2020,$331k,VIC,Brunswick,3056
M03/288 Albert St,1,1,−,07-03-2020,UNAVAILABLE,Unit,6th March 2020,$389k,VIC,Brunswick,3056
2/305 Albion St,1,1,1,07-03-2020,UNAVAILABLE,Unit,25th February 2020,$309k,VIC,Brunswick,3056
B303/460 Victoria St,1,2,1,07-03-2020,UNAVAILABLE,Unit,10th February 2020,$480k,VIC,Brunswick,3056
32 Clarke St,1,2,−,07-03-2020,UNAVAILABLE,House,3rd March 2020,$1.308m,VIC,Brunswick East,3057
303/124 Nicholson St,1,2,1,07-03-2020,UNAVAILABLE,Unit,24th February 2020,$612k,VIC,Brunswick East,3057
28/29 Nunan St,1,3,1,07-03-2020,UNAVAILABLE,Unit,5th March 2020,$620k,VIC,Brunswick East,3057
81 Victoria St,3,4,2,07-03-2020,UNAVAILABLE,House,25th February 2020,$2.28m,VIC,Brunswick East,3057
2/12 Allard St,1,2,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,Price withheld,VIC,Brunswick West,3055
101 Whitby St,1,4,1,07-03-2020,349m²,House,7th March 2020,$1.14m,VIC,Brunswick West,3055
7/41 Cumming St,1,1,1,07-03-2020,UNAVAILABLE,Unit,20th February 2020,$309k,VIC,Brunswick West,3055
230 Buffalo-Waratah Rd,1,4,3,07-03-2020,"25,100m²",House,5th March 2020,$546.5k,VIC,Buffalo,3958
2/7 Ronald Av,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,28th February 2020,$942.5k,VIC,Bulleen,3105
8 Japonica St,1,3,2,07-03-2020,529m²,House,UNAVAILABLE,-1,VIC,Bundoora,3083
3 Tamar St,1,3,2,07-03-2020,537m²,House,UNAVAILABLE,Price withheld,VIC,Bundoora,3083
15-17 Kelty Tce,3,4,8,07-03-2020,"1,486m²",House,11th February 2020,$2.35m,VIC,Bundoora,3083
406b/1091 Plenty Rd,2,2,1,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$500k,VIC,Bundoora,3083
5 Regent Cl,2,5,2,07-03-2020,650m²,House,4th March 2020,$730k,VIC,Burnside Heights,3023
114 Tenterfield Dr,2,4,2,07-03-2020,600m²,House,26th February 2020,$832.5k,VIC,Burnside Heights,3023
1 Alder St,1,3,1,07-03-2020,262m²,House,7th March 2020,$980k,VIC,Burwood,3125
47 Daniel St,3,5,2,07-03-2020,610m²,House,7th March 2020,Price withheld,VIC,Burwood,3125
36 Gillard St,1,4,2,07-03-2020,786m²,House,UNAVAILABLE,Price withheld,VIC,Burwood,3125
15 Waratah Av,1,3,2,07-03-2020,637m²,House,26th February 2020,Price withheld,VIC,Burwood,3125
4/84 Burwood Hwy,1,3,2,07-03-2020,UNAVAILABLE,Unit,25th February 2020,$770.5k,VIC,Burwood East,3151
10 Ismay Wyn,2,3,4,07-03-2020,UNAVAILABLE,House,29th February 2020,$560k,VIC,Buxton,3711
4 Oatlands La,2,3,2,07-03-2020,UNAVAILABLE,House,UNAVAILABLE,$655k max bid,VIC,Cairnlea,3023
6 Farmington Rd,3,4,2,07-03-2020,UNAVAILABLE,House,2nd March 2020,$805k,VIC,Cairnlea,3023
2/14 Brinsley Rd,1,1,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$860k,VIC,Camberwell,3124
212/436 Burke Rd,2,2,1,07-03-2020,68m²,Unit,UNAVAILABLE,$660k,VIC,Camberwell,3124
105/347 Camberwell Rd,1,2,1,07-03-2020,UNAVAILABLE,Unit,26th February 2020,$500k,VIC,Camberwell,3124
2/49 Gentles Av,2,3,1,07-03-2020,452m²,Unit,3rd March 2020,$500k,VIC,Campbellfield,3061
28 Blanket Gully Rd,2,4,2,07-03-2020,"7,568m²",House,5th March 2020,$677.5k,VIC,Campbells Creek,3451
27 Fryers Rd,1,3,−,07-03-2020,900m²,House,3rd March 2020,$250k,VIC,Campbells Creek,3451
2/720 Geelong Rd,1,2,1,07-03-2020,620m²,Townhouse,5th March 2020,$280k,VIC,Canadian,3350
2 Valley Dr,2,4,2,07-03-2020,UNAVAILABLE,House,11th February 2020,$570k,VIC,Canadian,3350
13 Faversham Rd,2,3,2,07-03-2020,715m²,House,7th March 2020,$2.89m,VIC,Canterbury,3126
11 Kingfisher Av,2,4,2,07-03-2020,723m²,House,2nd March 2020,$895k,VIC,Capel Sound,3940
4/37 Truemans Rd,2,3,2,07-03-2020,254m²,Townhouse,20th February 2020,$637.5k,VIC,Capel Sound,3940
22 Brendel St,1,3,2,07-03-2020,591m²,House,UNAVAILABLE,-1,VIC,Capel Sound,3940
40 Bucknall St,2,3,3,07-03-2020,784m²,House,28th February 2020,$257k,VIC,Carisbrook,3464
411/23 Palmerston St,2,2,1,07-03-2020,UNAVAILABLE,Unit,18th February 2020,$800k,VIC,Carlton,3053
155/800 Swanston St,1,1,−,07-03-2020,UNAVAILABLE,Unit,27th February 2020,$220k,VIC,Carlton,3053
101 Pigdon St,1,2,−,07-03-2020,UNAVAILABLE,House,7th March 2019,$920k,VIC,Carlton North,3054
11/545-549 Nicholson St,2,3,2,07-03-2020,UNAVAILABLE,Unit,29th February 2020,$930k,VIC,Carlton North,3054
2/16 Rigby Av,1,2,1,07-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$800k,VIC,Carnegie,3163
5/35-37 Kokaribb Rd,3,3,2,07-03-2020,UNAVAILABLE,Townhouse,1st March 2020,$1.199m,VIC,Carnegie,3163
8/5 Strathvea La,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$536k,VIC,Caroline Springs,3023
4 Cairn Curran Tce,2,4,2,07-03-2020,785m²,House,2nd March 2020,$1.06m,VIC,Caroline Springs,3023
201/9 Commercial Rd,1,2,1,07-03-2020,UNAVAILABLE,Unit,3rd March 2020,$415k,VIC,Caroline Springs,3023
17 Weigall Cl,2,4,2,07-03-2020,683m²,House,4th March 2020,$728k,VIC,Caroline Springs,3023
4/635 Nepean Hwy,2,3,2,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$805k,VIC,Carrum,3197
36 Westley St,1,2,2,07-03-2020,693m²,House,13th February 2020,$780k,VIC,Carrum,3197
64 Gamble Rd,2,4,2,07-03-2020,595m²,House,4th March 2020,$622.5k,VIC,Carrum Downs,3201
26 Parkdale Dr,2,3,2,07-03-2020,635m²,House,17th February 2020,$605k,VIC,Carrum Downs,3201
47 Spencer Dr,2,3,2,07-03-2020,UNAVAILABLE,House,19th February 2020,$621k,VIC,Carrum Downs,3201
5 Surrey Ct,2,3,2,07-03-2020,645m²,House,5th March 2020,$570k,VIC,Carrum Downs,3201
3/139 Hargraves St,1,2,2,07-03-2020,UNAVAILABLE,House,6th March 2020,$490k,VIC,Castlemaine,3450
8/8 Tattenham St,1,2,1,07-03-2020,UNAVAILABLE,Unit,3rd March 2020,$470k,VIC,Caulfield East,3145
207/144 Hawthorn Rd,1,1,1,07-03-2020,UNAVAILABLE,Unit,4th March 2020,$510k,VIC,Caulfield North,3161
10 Lygon St,2,4,4,07-03-2020,580m²,House,UNAVAILABLE,Price withheld,VIC,Caulfield South,3162
1/77 Atkinson St,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,Price withheld,VIC,Chadstone,3148
2/11 Batesford Rd,2,3,1,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$921k,VIC,Chadstone,3148
3a Bosco St,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$880k max bid,VIC,Chadstone,3148
12 Beeston Av,2,4,2,07-03-2020,507m²,House,2nd March 2020,$530k,VIC,Charlemont,3217
3/22 Argyle Av,2,3,2,07-03-2020,UNAVAILABLE,Unit,25th February 2020,$810k,VIC,Chelsea,3196
13 Anton Ct,2,3,2,07-03-2020,UNAVAILABLE,House,22nd February 2020,$865k,VIC,Chelsea Heights,3196
37 First Av,2,4,2,07-03-2020,700m²,House,3rd March 2020,$888k,VIC,Chelsea Heights,3196
23 Wingrove St,1,2,1,07-03-2020,573m²,House,UNAVAILABLE,$950.5k,VIC,Cheltenham,3192
2/18 Devon St,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,1st March 2020,$1.15m,VIC,Cheltenham,3192
16 Keamy Av,2,4,2,07-03-2020,623m²,House,13th February 2020,$1.301m,VIC,Cheltenham,3192
66A Kingswood Dr,2,4,2,07-03-2020,555m²,House,18th February 2020,Price withheld,VIC,Chirnside Park,3116
8 Blackfriars La,1,3,3,07-03-2020,911m²,House,3rd March 2020,$702k,VIC,Chirnside Park,3116
38 Rolling Hills Rd,3,4,2,07-03-2020,892m²,House,3rd March 2020,$700k,VIC,Chirnside Park,3116
8 The Wallaby Run ,2,4,4,07-03-2020,961m²,House,2nd March 2020,$810.018k,VIC,Chirnside Park,3116
23 Bayview Av,1,1,1,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$791.5k,VIC,Clayton,3168
4/29-31 Morton St,1,1,1,07-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,Price withheld,VIC,Clayton,3168
8/1440 Centre Rd,1,2,1,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$421k,VIC,Clayton South,3169
48 Glenmorgan Cl,2,3,3,07-03-2020,620m²,House,21st February 2020,$830k,VIC,Clayton South,3169
10-11 Alchera Ct,2,4,3,07-03-2020,"1,469m²",House,3rd March 2020,$752.5k,VIC,Clifton Springs,3222
67 Bay Shore Av,2,3,1,07-03-2020,586m²,House,3rd March 2020,$517k,VIC,Clifton Springs,3222
14 Narawi Av,2,3,2,07-03-2020,626m²,House,2nd March 2020,$582.5k,VIC,Clifton Springs,3222
37 Creswick Rd,2,4,8,07-03-2020,"2,292m²",House,28th February 2020,$405k,VIC,Clunes,3370
28 Cradle Av,2,4,2,07-03-2020,408m²,House,6th March 2020,$545k,VIC,Clyde,3978
36 Green Gully Rd,2,4,2,07-03-2020,448m²,House,6th March 2020,$610k,VIC,Clyde,3978
2 Trickett St,2,4,2,07-03-2020,UNAVAILABLE,House,5th March 2020,$520k,VIC,Clyde,3978
81 Brocker St,2,4,2,07-03-2020,400m²,House,18th February 2020,$615k,VIC,Clyde North,3978
26 Castillo Av,2,3,2,07-03-2020,UNAVAILABLE,House,15th February 2020,$575.113k,VIC,Clyde North,3978
7 Tallrush St,2,4,2,07-03-2020,530m²,House,5th March 2020,$790k,VIC,Clyde North,3978
17 Dudley Park La,2,3,2,07-03-2020,373m²,House,24th February 2020,$325k,VIC,Cobram,3644
68 Barrow St,1,3,1,07-03-2020,UNAVAILABLE,House,UNAVAILABLE,$979k,VIC,Coburg,3058
